Month,Region,State,Energy Requirement,Energy met,Peak Demand Met
01-05-2025,NR,Chandigarh,191,191,431
01-05-2025,NR,Delhi,3814,3814,7748
01-05-2025,NR,Haryana,6227,6214,12526
01-05-2025,NR,Himachal Pradesh,1124,1124,1866
01-05-2025,NR,J&K(UT) and Ladakh (UT),1557,1556,2797
01-05-2025,NR,Punjab,6651,6651,13969
01-05-2025,NR,Rajasthan,9588,9588,17336
01-05-2025,NR,Uttar Pradesh,15964,15964,29873
01-05-2025,NR,Uttarakhand,1551,1551,2668
01-05-2025,NR,Railway NR ISTS,132,132,232
01-05-2025,NR,Gujarat,14192,14192,81787
01-05-2025,NR,Madhya Pradesh,8499,8497,25681
01-05-2025,NR,Chhattisgarh,3588,3588,13844
01-05-2025,NR,Maharashtra,17683,17682,5720
01-05-2025,NR,Goa,501,501,29124
01-05-2025,WR,Andhra Pradesh,6636,6636,200
01-05-2025,WR,Telangana,6193,6193,76126
01-05-2025,WR,Karnataka,7377,7377,12600
01-05-2025,WR,Kerala,2766,2766,10803
01-05-2025,SR,Tamil Nadu,11332,11332,15952
01-05-2025,SR,Puducherry,317,317,5194
01-05-2025,SR,Bihar,4416,4414,19416
01-05-2025,SR,Jharkhand,1349,1349,545
01-05-2025,SR,Odisha,4113,4112,7736
01-05-2025,ER,West Bengal,6922,6922,2230
01-05-2025,ER,Sikkim,40,40,3462
01-05-2025,ER,Railway ER ISTS,7,7,6882
01-05-2025,ER,Arunachal Pradesh,97,97,12781
01-05-2025,ER,Assam,1136,1136,109
01-05-2025,ER,Manipur,97,97,31
01-05-2025,ER,Meghalaya,168,168,31985
01-05-2025,NER,Mizoram,60,60,184
01-05-2025,NER,Nagaland,82,82,2336
01-05-2025,NER,Tripura,169,169,248
01-04-2025,NER,Chandigarh,150,150,339
01-04-2025,NER,Delhi,3131,3131,138
01-04-2025,NER,Haryana,5225,5211,187
01-04-2025,NER,Himachal Pradesh,995,995,347
01-04-2025,NER,J&K(UT) and Ladakh (UT),1625,1624,3606
01-04-2025,NER,Punjab,5266,5266,11276
01-04-2025,NR,Rajasthan,8841,8841,15800
01-04-2025,NR,Uttar Pradesh,13043,13042,26278
01-04-2025,NR,Uttarakhand,1326,1318,2305
01-04-2025,NR,Railway NR ISTS,125,125,226
01-04-2025,NR,Gujarat,14835,14834,26421
01-04-2025,NR,Madhya Pradesh,8862,8848,14486
01-04-2025,NR,Chhattisgarh,4337,4303,6819
01-04-2025,NR,Maharashtra,19925,19906,30659
01-04-2025,NR,Goa,513,513,821
01-04-2025,WR,Andhra Pradesh,7089,7089,13117
01-04-2025,WR,Telangana,7470,7470,14925
01-04-2025,WR,Karnataka,8840,8840,17330
01-04-2025,SR,Kerala,2850,2850,5139
01-04-2025,SR,Tamil Nadu,11892,11892,20148
01-04-2025,SR,Puducherry,320,320,544
01-04-2025,SR,Bihar,3654,3644,7399
01-04-2025,SR,Jharkhand,1259,1255,2224
01-04-2025,SR,Odisha,3771,3771,6667
01-04-2025,ER,West Bengal,6629,6629,12386
01-04-2025,ER,Sikkim,45,45,104
01-04-2025,ER,Railway ER ISTS,5,5,28
01-04-2025,ER,Arunachal Pradesh,86,86,172
01-04-2025,ER,Assam,1012,1012,2054
01-04-2025,ER,Manipur,86,84,228
01-04-2025,ER,Meghalaya,164,164,340
